year,country_iso,country_name,commodity,import_value,export_value,trade_balance,tax_rate,gdp_usd,total_imports_country,total_exports_country,total_trade_country,global_total_imports,global_total_exports,global_total_trade,imports_gdp_ratio,exports_gdp_ratio,tariff_prev_year,tariff_change_value,tariff_change_direction,yoy_import_value,yoy_export_value,yoy_trade_balance,partner_iso,partner_name,commodity_group,is_major_economy
2015,BRA,Brazil,10,127626555.0,1206434054.0,1078807499.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,7.081660778759584e-05,0.0006694184233345264,8.27,0.0,no_change,91.56699193761297,-0.5339529087889208,-0.5830331363168677,MEX,Mexico,mineral_fuels,True
2015,BRA,Brazil,10,127626555.0,1206434054.0,1078807499.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,7.081660778759584e-05,0.0006694184233345264,8.27,0.0,no_change,91.56699193761297,-0.5339529087889208,-0.5830331363168677,NGA,Nigeria,mineral_fuels,True
2015,BRA,Brazil,10,127626555.0,1206434054.0,1078807499.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,7.081660778759584e-05,0.0006694184233345264,8.27,0.0,no_change,91.56699193761297,-0.5339529087889208,-0.5830331363168677,ZAF,South Africa,mineral_fuels,True
2015,BRA,Brazil,10,127626555.0,1206434054.0,1078807499.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,7.081660778759584e-05,0.0006694184233345264,8.27,0.0,no_change,91.56699193761297,-0.5339529087889208,-0.5830331363168677,GBR,United Kingdom,mineral_fuels,True
2015,BRA,Brazil,27,11607893575.0,7867379501.0,-3740514074.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.006440913856375178,0.004365401294726544,8.27,0.0,no_change,89.95202463938637,5.521184871162465,-4.467267401707225,BRA,Brazil,chemicals,True
2015,BRA,Brazil,27,11607893575.0,7867379501.0,-3740514074.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.006440913856375178,0.004365401294726544,8.27,0.0,no_change,89.95202463938637,5.521184871162465,-4.467267401707225,CAN,Canada,chemicals,True
2015,BRA,Brazil,27,11607893575.0,7867379501.0,-3740514074.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.006440913856375178,0.004365401294726544,8.27,0.0,no_change,89.95202463938637,5.521184871162465,-4.467267401707225,CHN,China,chemicals,True
2015,BRA,Brazil,27,11607893575.0,7867379501.0,-3740514074.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.006440913856375178,0.004365401294726544,8.27,0.0,no_change,89.95202463938637,5.521184871162465,-4.467267401707225,DEU,Germany,chemicals,True
2015,BRA,Brazil,27,11607893575.0,7867379501.0,-3740514074.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.006440913856375178,0.004365401294726544,8.27,0.0,no_change,89.95202463938637,5.521184871162465,-4.467267401707225,JPN,Japan,chemicals,True
2015,BRA,Brazil,27,11607893575.0,7867379501.0,-3740514074.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.006440913856375178,0.004365401294726544,8.27,0.0,no_change,89.95202463938637,5.521184871162465,-4.467267401707225,KOR,Rep. of Korea,chemicals,True
2015,BRA,Brazil,27,11607893575.0,7867379501.0,-3740514074.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.006440913856375178,0.004365401294726544,8.27,0.0,no_change,89.95202463938637,5.521184871162465,-4.467267401707225,MEX,Mexico,chemicals,True
2015,BRA,Brazil,27,11607893575.0,7867379501.0,-3740514074.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.006440913856375178,0.004365401294726544,8.27,0.0,no_change,89.95202463938637,5.521184871162465,-4.467267401707225,NGA,Nigeria,chemicals,True
2015,BRA,Brazil,27,11607893575.0,7867379501.0,-3740514074.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.006440913856375178,0.004365401294726544,8.27,0.0,no_change,89.95202463938637,5.521184871162465,-4.467267401707225,IND,India,chemicals,True
2015,BRA,Brazil,27,11607893575.0,7867379501.0,-3740514074.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.006440913856375178,0.004365401294726544,8.27,0.0,no_change,89.95202463938637,5.521184871162465,-4.467267401707225,ZAF,South Africa,chemicals,True
2015,BRA,Brazil,27,11607893575.0,7867379501.0,-3740514074.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.006440913856375178,0.004365401294726544,8.27,0.0,no_change,89.95202463938637,5.521184871162465,-4.467267401707225,GBR,United Kingdom,chemicals,True
2015,BRA,Brazil,27,11607893575.0,7867379501.0,-3740514074.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.006440913856375178,0.004365401294726544,8.27,0.0,no_change,89.95202463938637,5.521184871162465,-4.467267401707225,USA,USA,chemicals,True
2015,BRA,Brazil,30,3657647330.0,356958290.0,-3300689040.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0020295319919428766,0.00019806673634229876,8.27,0.0,no_change,-0.6848999944419287,-0.9546280575438584,-0.11758411418825743,BRA,Brazil,manufactures,True
2015,BRA,Brazil,30,3657647330.0,356958290.0,-3300689040.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0020295319919428766,0.00019806673634229876,8.27,0.0,no_change,-0.6848999944419287,-0.9546280575438584,-0.11758411418825743,CAN,Canada,manufactures,True
2015,BRA,Brazil,30,3657647330.0,356958290.0,-3300689040.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0020295319919428766,0.00019806673634229876,8.27,0.0,no_change,-0.6848999944419287,-0.9546280575438584,-0.11758411418825743,CHN,China,manufactures,True
2015,BRA,Brazil,30,3657647330.0,356958290.0,-3300689040.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0020295319919428766,0.00019806673634229876,8.27,0.0,no_change,-0.6848999944419287,-0.9546280575438584,-0.11758411418825743,DEU,Germany,manufactures,True
2015,BRA,Brazil,30,3657647330.0,356958290.0,-3300689040.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0020295319919428766,0.00019806673634229876,8.27,0.0,no_change,-0.6848999944419287,-0.9546280575438584,-0.11758411418825743,JPN,Japan,manufactures,True
2015,BRA,Brazil,30,3657647330.0,356958290.0,-3300689040.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0020295319919428766,0.00019806673634229876,8.27,0.0,no_change,-0.6848999944419287,-0.9546280575438584,-0.11758411418825743,KOR,Rep. of Korea,manufactures,True
2015,BRA,Brazil,30,3657647330.0,356958290.0,-3300689040.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0020295319919428766,0.00019806673634229876,8.27,0.0,no_change,-0.6848999944419287,-0.9546280575438584,-0.11758411418825743,MEX,Mexico,manufactures,True
2015,BRA,Brazil,30,3657647330.0,356958290.0,-3300689040.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0020295319919428766,0.00019806673634229876,8.27,0.0,no_change,-0.6848999944419287,-0.9546280575438584,-0.11758411418825743,IND,India,manufactures,True
2015,BRA,Brazil,30,3657647330.0,356958290.0,-3300689040.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0020295319919428766,0.00019806673634229876,8.27,0.0,no_change,-0.6848999944419287,-0.9546280575438584,-0.11758411418825743,ZAF,South Africa,manufactures,True
2015,BRA,Brazil,30,3657647330.0,356958290.0,-3300689040.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0020295319919428766,0.00019806673634229876,8.27,0.0,no_change,-0.6848999944419287,-0.9546280575438584,-0.11758411418825743,GBR,United Kingdom,manufactures,True
2015,BRA,Brazil,30,3657647330.0,356958290.0,-3300689040.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0020295319919428766,0.00019806673634229876,8.27,0.0,no_change,-0.6848999944419287,-0.9546280575438584,-0.11758411418825743,USA,USA,manufactures,True
2015,BRA,Brazil,30,3657647330.0,356958290.0,-3300689040.0,8.27,1802212206814.5,37649931186.0,15320100722.0,52970031908.0,1744588645910.131,1474471947257.358,3219060593167.4893,0.0020295319919428766,0.00019806673634229876,8.27,0.0,no_change,-0.6848999944419287,-0.9546280575438584,-0.11758411418825743,NGA,Nigeria,manufactures,True
