"","reporterDesc","partnerDesc","primaryValue","flowCode"
"134","Albania","Paraguay",5664186,"M"
"135","Albania","Peru",1470786,"M"
"136","Albania","Philippines",1527440,"M"
"137","Albania","Poland",203020860,"M"
"138","Albania","Portugal",21914541,"M"
"139","Albania","Timor-Leste",49,"M"
"140","Albania","Qatar",6476381,"M"
"141","Albania","Romania",95077817,"M"
"142","Albania","Russian Federation",41315553,"M"
"143","Albania","Rwanda",18401,"M"
"144","Albania","Saint Kitts and Nevis",1579,"M"
"145","Albania","Anguilla",17947,"M"
"146","Albania","Saint Vincent and the Grenadines",9388,"M"
"147","Albania","San Marino",1491394,"M"
"148","Albania","Saudi Arabia",204309853,"M"
"149","Albania","Senegal",11863,"M"
"150","Albania","Serbia",403577615,"M"
"151","Albania","Sierra Leone",10794,"M"
"152","Albania","India",98241983,"M"
"153","Albania","Singapore",1669466,"M"
"154","Albania","Slovakia",23750766,"M"
"155","Albania","Viet Nam",34408784,"M"
"156","Albania","Slovenia",67533436,"M"
"157","Albania","Somalia",1466,"M"
"158","Albania","South Africa",10044721,"M"
"159","Albania","Zimbabwe",10263,"M"
"160","Albania","Spain",144203185,"M"
"161","Albania","Sudan",15441,"M"
"162","Albania","Suriname",28541,"M"
"163","Albania","Eswatini",204078,"M"
"164","Albania","Sweden",45621084,"M"
"165","Albania","Switzerland",105236466,"M"
"166","Albania","Syria",143423,"M"
"167","Albania","Tajikistan",16876,"M"
"168","Albania","Thailand",26572191,"M"
"169","Albania","Tokelau",5210,"M"
"170","Albania","Trinidad and Tobago",17356,"M"
"171","Albania","United Arab Emirates",13827818,"M"
"172","Albania","Tunisia",17353256,"M"
"173","Albania","Turkiye",1037902804,"M"
"174","Albania","Turkmenistan",1521148,"M"
"175","Albania","Turks and Caicos Isds",14527,"M"
"176","Albania","Tuvalu",6313,"M"
"177","Albania","Uganda",1818588,"M"
"178","Albania","Ukraine",41769961,"M"
"179","Albania","North Macedonia",129579008,"M"
"180","Albania","Egypt",111337776,"M"
"181","Albania","United Kingdom",103727184,"M"
"182","Albania","United Rep. of Tanzania",586667,"M"
"183","Albania","USA",220937874,"M"
"184","Albania","Burkina Faso",4635,"M"
"185","Albania","Uruguay",117011,"M"
"186","Albania","Uzbekistan",472060,"M"
"187","Albania","Venezuela",33861,"M"
"188","Albania","Wallis and Futuna Isds",470,"M"
"189","Albania","Zambia",116993,"M"
"190","Albania","Areas, nes",32701,"M"
"191","Angola","Afghanistan",11576,"M"
"192","Angola","Albania",255600,"M"
"193","Angola","Antarctica",1037,"M"
"194","Angola","Algeria",1334720,"M"
"195","Angola","Andorra",232820,"M"
"196","Angola","Angola",688222,"M"
"197","Angola","Antigua and Barbuda",982634,"M"
"198","Angola","Azerbaijan",281178,"M"
"199","Angola","Argentina",147444337,"M"
"200","Angola","Australia",7109262,"M"
"201","Angola","Austria",6489602,"M"
"202","Angola","Bahamas",150,"M"
"203","Angola","Bahrain",290944,"M"
"204","Angola","Bangladesh",583424,"M"
"205","Angola","Armenia",1879,"M"
"206","Angola","Barbados",565,"M"
"207","Angola","Belgium",640487786,"M"
"208","Angola","Bermuda",3869964,"M"
"209","Angola","Bhutan",192,"M"
"210","Angola","Bolivia (Plurinational State of)",1982328,"M"
"211","Angola","Bosnia Herzegovina",303081,"M"
"212","Angola","Botswana",4569519,"M"
"213","Angola","Brazil",512842957,"M"
"214","Angola","Solomon Isds",1800,"M"
"215","Angola","Br. Virgin Isds",192000,"M"
"216","Angola","Brunei Darussalam",532356,"M"
"217","Angola","Bulgaria",4223429,"M"
"218","Angola","Myanmar",103553,"M"
"219","Angola","Belarus",362595,"M"
"220","Angola","Cambodia",90010,"M"
"221","Angola","Cameroon",3322705,"M"
"222","Angola","Canada",48000248,"M"
"223","Angola","Cabo Verde",140189,"M"
"224","Angola","Cayman Isds",10887,"M"
"225","Angola","Sri Lanka",2925955,"M"
"226","Angola","Chad",130895,"M"
"227","Angola","Chile",678505,"M"
"228","Angola","China",2054915001,"M"
"229","Angola","Colombia",2071346,"M"
"230","Angola","Comoros",534,"M"
"231","Angola","Congo",15438344,"M"
"232","Angola","Dem. Rep. of the Congo",5425750,"M"
"233","Angola","Cook Isds",16864,"M"
"234","Angola","Costa Rica",145619,"M"
"235","Angola","Croatia",378793,"M"
"236","Angola","Cuba",51521,"M"
"237","Angola","Cyprus",459971,"M"
"238","Angola","Czechia",20300515,"M"
"239","Angola","Benin",3976,"M"
"240","Angola","Denmark",14896544,"M"
"241","Angola","Dominica",20396,"M"
"242","Angola","Dominican Rep.",84026,"M"
"243","Angola","Ecuador",189743,"M"
"244","Angola","El Salvador",919,"M"
"245","Angola","Equatorial Guinea",261628,"M"
"246","Angola","Ethiopia",1728372,"M"
