"refYear","reporterDesc","section","flowCode","totalValue"
2020,"Mexico","Arms and ammunition","X",117808324
2020,"Mexico","Base metals & articles of base metal","M",88996619182
2020,"Mexico","Base metals & articles of base metal","X",47690036330
2020,"Mexico","Chemicals & allied industries","M",85711775207
2020,"Mexico","Chemicals & allied industries","X",26148336507
2020,"Mexico","Footwear, headgear, umbrellas, etc.","M",3187262663
2020,"Mexico","Footwear, headgear, umbrellas, etc.","X",1844031833
2020,"Mexico","Hides, skins, leather, furs","M",3515815077
2020,"Mexico","Hides, skins, leather, furs","X",1530829215
2020,"Mexico","Live animals; animal products","M",18129563503
2020,"Mexico","Live animals; animal products","X",13705588279
2020,"Mexico","Machinery & electrical equipment","M",443228192898
2020,"Mexico","Machinery & electrical equipment","X",446827513184
2020,"Mexico","Mineral products","M",80572883737
2020,"Mexico","Mineral products","X",68353978690
2020,"Mexico","Miscellaneous manufactured articles","M",17320091228
2020,"Mexico","Miscellaneous manufactured articles","X",34511113994
2020,"Mexico","Optical/medical instruments","M",47261383410
2020,"Mexico","Optical/medical instruments","X",55453823430
2020,"Mexico","Plastics & rubber","M",82004560937
2020,"Mexico","Plastics & rubber","X",34913241320
2020,"Mexico","Precious stones/metals, jewelry","M",1972715224
2020,"Mexico","Precious stones/metals, jewelry","X",18967252911
2020,"Mexico","Prepared foods; beverages; tobacco","M",19803304154
2020,"Mexico","Prepared foods; beverages; tobacco","X",46142085061
2020,"Mexico","Pulp, paper, paperboard","M",19167489042
2020,"Mexico","Pulp, paper, paperboard","X",6004127903
2020,"Mexico","Stone, cement, ceramic, glass","M",7956644326
2020,"Mexico","Stone, cement, ceramic, glass","X",10956715900
2020,"Mexico","Textiles and textile articles","M",25423210652
2020,"Mexico","Textiles and textile articles","X",18222671072
2020,"Mexico","Unknown","M",382979895758
2020,"Mexico","Unknown","X",416982170486
2020,"Mexico","Vegetable products","M",31081677313
2020,"Mexico","Vegetable products","X",50544378964
2020,"Mexico","Vehicles, aircraft, vessels","M",96512538792
