typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","826","GBR","United Kingdom","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","40820778","38451488","40820778","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","842","USA","USA","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","4323431758","3942682424","4323431758","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","76","BRA","Brazil","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","863949","815871","863949","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","149562316","147916989","149562316","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","156","CHN","China","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","96690148","93054061","96690148","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1131413820","1108021236","1131413820","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","55637741","54355146","55637741","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","94664302","90136146","94664302","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","83566329","80038385","83566329","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","699","IND","India","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","264131568","247173363","264131568","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","710","ZAF","South Africa","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4756099","4471826","4756099","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","826","GBR","United Kingdom","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","430744555","423135203","430744555","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","842","USA","USA","0","W00","World","H4","HS","true","30","Pharmaceutical products","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1345616503","1315701643","1345616503","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","76","BRA","Brazil","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","28861654","28760659","28861654","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","102904967","99868707","102904967","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","156","CHN","China","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","8822624768","8468419798","8822624768","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","886108086","859364075","886108086","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","611059518","592139354","611059518","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2160052831","2098812332","2160052831","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","660663197","638604927","660663197","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","566","NGA","Nigeria","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","339","145","339","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","699","IND","India","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","140095047","128296848","140095047","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","710","ZAF","South Africa","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","5175719","5087265","5175719","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","826","GBR","United Kingdom","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","168581909","165031255","168581909","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","842","USA","USA","0","W00","World","H4","HS","true","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1739397278","1694748476","1739397278","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","76","BRA","Brazil","0","W00","World","H4","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1115025","1054979","1115025","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","124","CAN","Canada","0","W00","World","H4","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","53151525","50975332","53151525","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","156","CHN","China","0","W00","World","H4","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","783978153","744959908","783978153","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1033731885","1003003007","1033731885","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1009435258","958004681","1009435258","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1004478894","956467404","1004478894","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1552756735","1503969966","1552756735","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","699","IND","India","0","W00","World","H4","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","174755406","166425341","174755406","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","710","ZAF","South Africa","0","W00","World","H4","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","156585387","150195184","156585387","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","826","GBR","United Kingdom","0","W00","World","H4","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","318140932","308080642","318140932","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","M","Import","842","USA","USA","0","W00","World","H4","HS","true","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","841730465","813924756","841730465","4","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","124","CAN","Canada","0","W00","World","H4","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"43574679","43574679","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H4","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1078692276","1078692276","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","276","DEU","Germany","0","W00","World","H4","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"120925562","120925562","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","392","JPN","Japan","0","W00","World","H4","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"844839970","844839970","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"181664135","181664135","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","484","MEX","Mexico","0","W00","World","H4","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"53727542","53727542","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","566","NGA","Nigeria","0","W00","World","H4","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"264500","264500","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","710","ZAF","South Africa","0","W00","World","H4","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"134417272","134417272","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","826","GBR","United Kingdom","0","W00","World","H4","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"128480400","128480400","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","842","USA","USA","0","W00","World","H4","HS","true","02","Meat and edible meat offal","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2066349","2066349","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","124","CAN","Canada","0","W00","World","H4","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"883850","883850","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H4","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"30356933","30356933","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","276","DEU","Germany","0","W00","World","H4","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"6","6","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","392","JPN","Japan","0","W00","World","H4","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"462482623","462482623","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"528535208","528535208","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","484","MEX","Mexico","0","W00","World","H4","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"50870876","50870876","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","566","NGA","Nigeria","0","W00","World","H4","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"5909080","5909080","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","699","IND","India","0","W00","World","H4","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1824198","1824198","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","710","ZAF","South Africa","0","W00","World","H4","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"61245222","61245222","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","826","GBR","United Kingdom","0","W00","World","H4","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"471827","471827","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","842","USA","USA","0","W00","World","H4","HS","true","10","Cereals","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"63854231","63854231","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","124","CAN","Canada","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"129104451","129104451","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","156","CHN","China","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"4145461148","4145461148","0","false","true",
"C","A","20150101","2015","52","2015","76","BRA","Brazil","X","Export","276","DEU","Germany","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"23105798","23105798","4","false","true",
