Reporting Economy,Year,Product/Sector,Value
Afghanistan,2018,Manufactures,3444
Afghanistan,2018,Agricultural products,3381
Afghanistan,2018,Food,3100
Afghanistan,2018,Fuels and mining products,1202
Afghanistan,2018,Fuels,1059
Afghanistan,2018,Machinery and transport equipment,873
Afghanistan,2018,Textiles,494
Afghanistan,2018,Transport equipment,395
Afghanistan,2018,Automotive products,346
Afghanistan,2018,Chemicals,281
Afghanistan,2018,Other,294
Afghanistan,2019,Agricultural products,3188
Afghanistan,2019,Food,2854
Afghanistan,2019,Manufactures,2273
Afghanistan,2019,Fuels and mining products,2179
Afghanistan,2019,Fuels,2015
Afghanistan,2019,Machinery and transport equipment,925
Afghanistan,2019,Textiles,512
Afghanistan,2019,Chemicals,393
Afghanistan,2019,Transport equipment,332
Afghanistan,2019,Automotive products,285
Afghanistan,2019,Other,550
Afghanistan,2020,Manufactures,3494
Afghanistan,2020,Agricultural products,3223
Afghanistan,2020,Food,3001
Afghanistan,2020,Machinery and transport equipment,1026
Afghanistan,2020,Chemicals,680
Afghanistan,2020,Transport equipment,482
Afghanistan,2020,Textiles,422
Afghanistan,2020,Fuels and mining products,408
Afghanistan,2020,Fuels,366
Afghanistan,2020,Iron and steel,299
Afghanistan,2020,Other,937
Afghanistan,2021,Agricultural products,2781
Afghanistan,2021,Manufactures,2613
Afghanistan,2021,Food,2590
Afghanistan,2021,Machinery and transport equipment,769
Afghanistan,2021,Fuels and mining products,736
Afghanistan,2021,Fuels,674
Afghanistan,2021,Chemicals,563
Afghanistan,2021,Transport equipment,329
Afghanistan,2021,Textiles,271
Afghanistan,2021,Pharmaceuticals,239
Afghanistan,2021,Other,764
Afghanistan,2022,Agricultural products,3249
Afghanistan,2022,Food,3025
Afghanistan,2022,Manufactures,2121
Afghanistan,2022,Fuels and mining products,972
Afghanistan,2022,Fuels,916
Afghanistan,2022,Chemicals,710
Afghanistan,2022,Machinery and transport equipment,405
Afghanistan,2022,Pharmaceuticals,301
Afghanistan,2022,Textiles,277
Afghanistan,2022,Transport equipment,103
Afghanistan,2022,Other,337
Afghanistan,2023,Agricultural products,3038
Afghanistan,2023,Food,2828
Afghanistan,2023,Manufactures,2652
Afghanistan,2023,Fuels and mining products,946
Afghanistan,2023,Fuels,904
Afghanistan,2023,Chemicals,680
Afghanistan,2023,Machinery and transport equipment,641
Afghanistan,2023,Textiles,448
Afghanistan,2023,Pharmaceuticals,258
Afghanistan,2023,Transport equipment,250
Afghanistan,2023,Other,487
Albania,2018,Manufactures,6097
Albania,2018,Machinery and transport equipment,1462
Albania,2018,Fuels and mining products,1348
Albania,2018,Agricultural products,1340
Albania,2018,Food,1217
Albania,2018,Fuels,981
Albania,2018,Clothing,886
Albania,2018,Chemicals,726
Albania,2018,Iron and steel,487
Albania,2018,Transport equipment,461
Albania,2018,Other,1379
Albania,2019,Manufactures,5898
Albania,2019,Machinery and transport equipment,1419
Albania,2019,Agricultural products,1384
Albania,2019,Fuels and mining products,1320
Albania,2019,Food,1253
Albania,2019,Fuels,967
Albania,2019,Clothing,858
Albania,2019,Chemicals,727
Albania,2019,Transport equipment,446
Albania,2019,Iron and steel,441
Albania,2019,Other,1393
Albania,2020,Manufactures,5598
Albania,2020,Agricultural products,1433
Albania,2020,Machinery and transport equipment,1418
Albania,2020,Food,1299
Albania,2020,Fuels and mining products,1036
Albania,2020,Clothing,767
Albania,2020,Chemicals,760
Albania,2020,Fuels,676
Albania,2020,Transport equipment,441
Albania,2020,Automotive products,410
Albania,2020,Other,1370
Albania,2021,Manufactures,7492
Albania,2021,Fuels and mining products,2004
Albania,2021,Machinery and transport equipment,1894
Albania,2021,Agricultural products,1753
Albania,2021,Food,1589
Albania,2021,Fuels,1451
Albania,2021,Chemicals,1014
Albania,2021,Clothing,920
Albania,2021,Iron and steel,821
Albania,2021,Transport equipment,607
Albania,2021,Other,1795
Albania,2022,Manufactures,8031
Albania,2022,Fuels and mining products,2822
Albania,2022,Fuels,2191
Albania,2022,Machinery and transport equipment,1956
Albania,2022,Agricultural products,1844
Albania,2022,Food,1686
Albania,2022,Iron and steel,1033
Albania,2022,Chemicals,959
Albania,2022,Clothing,930
Albania,2022,Transport equipment,574
Albania,2022,Other,1721
Albania,2023,Manufactures,7621
Albania,2023,Agricultural products,1936
Albania,2023,Fuels and mining products,1884
Albania,2023,Food,1809
Albania,2023,Machinery and transport equipment,1476
Albania,2023,Clothing,1032
Albania,2023,Fuels,940
Albania,2023,Chemicals,766
Albania,2023,Transport equipment,616
Albania,2023,Automotive products,577
Albania,2023,Other,1362
Algeria,2018,Fuels and mining products,43193
Algeria,2018,Fuels,42383
Algeria,2018,Manufactures,32535
Algeria,2018,Machinery and transport equipment,15187
Algeria,2018,Agricultural products,8674
Algeria,2018,Food,7972
Algeria,2018,Chemicals,6891
Algeria,2018,Transport equipment,6015
Algeria,2018,Automotive products,4425
Algeria,2018,Iron and steel,2338
Algeria,2018,Other,6772
Algeria,2019,Fuels and mining products,36550
Algeria,2019,Fuels,35550
Algeria,2019,Manufactures,31737
Algeria,2019,Machinery and transport equipment,13619
Algeria,2019,Agricultural products,9146
Algeria,2019,Food,8532
Algeria,2019,Chemicals,7144
Algeria,2019,Transport equipment,4526
Algeria,2019,Automotive products,3751
Algeria,2019,Iron and steel,2891
Algeria,2019,Other,7402
Algeria,2020,Manufactures,24266
Algeria,2020,Fuels and mining products,21403
Algeria,2020,Fuels,20442
Algeria,2020,Agricultural products,9326
Algeria,2020,Machinery and transport equipment,9115
Algeria,2020,Food,8803
Algeria,2020,Chemicals,6662
Algeria,2020,Transport equipment,2400
Algeria,2020,Iron and steel,1826
Algeria,2020,Automotive products,1821
Algeria,2020,Other,5808
Algeria,2021,Fuels and mining products,36480
Algeria,2021,Fuels,34790
Algeria,2021,Manufactures,27063
Algeria,2021,Agricultural products,10787
Algeria,2021,Food,10191
Algeria,2021,Machinery and transport equipment,9427
Algeria,2021,Chemicals,8194
Algeria,2021,Transport equipment,2468
Algeria,2021,Iron and steel,2340
Algeria,2021,Pharmaceuticals,1907
Algeria,2021,Other,6572
Algeria,2022,Fuels and mining products,61388
Algeria,2022,Fuels,59602
Algeria,2022,Manufactures,29863
Algeria,2022,Agricultural products,13135
Algeria,2022,Food,12432
Algeria,2022,Chemicals,10572
Algeria,2022,Machinery and transport equipment,8401
Algeria,2022,Iron and steel,2992
Algeria,2022,Transport equipment,2280
Algeria,2022,Automotive products,1657
Algeria,2022,Other,5323
Algeria,2023,Fuels and mining products,55604
Algeria,2023,Fuels,53956
Algeria,2023,Manufactures,32172
Algeria,2023,Machinery and transport equipment,12052
Algeria,2023,Agricultural products,11864
Algeria,2023,Food,11151
Algeria,2023,Chemicals,8689
Algeria,2023,Transport equipment,3880
Algeria,2023,Automotive products,3295
Algeria,2023,Iron and steel,2734
Algeria,2023,Other,6276
Angola,2018,Fuels and mining products,42630
Angola,2018,Fuels,41321
Angola,2018,Manufactures,9721
Angola,2018,Machinery and transport equipment,5482
Angola,2018,Agricultural products,3725
Angola,2018,Food,3420
Angola,2018,Transport equipment,2291
Angola,2018,Chemicals,1606
Angola,2018,Automotive products,620
Angola,2018,Office and telecom equipment,421
Angola,2018,Other,1406
Angola,2019,Fuels and mining products,36697
Angola,2019,Fuels,35360
Angola,2019,Manufactures,9616
Angola,2019,Machinery and transport equipment,5483
Angola,2019,Agricultural products,3016
Angola,2019,Food,2864
Angola,2019,Transport equipment,2660
Angola,2019,Chemicals,1433
Angola,2019,Automotive products,624
Angola,2019,Office and telecom equipment,434
Angola,2019,Other,1382
Angola,2020,Fuels and mining products,21808
Angola,2020,Fuels,20614
Angola,2020,Manufactures,7286
Angola,2020,Machinery and transport equipment,4111
Angola,2020,Agricultural products,2349
Angola,2020,Food,2240
Angola,2020,Transport equipment,1954
Angola,2020,Chemicals,1164
Angola,2020,Automotive products,495
Angola,2020,Iron and steel,311
Angola,2020,Other,1074
Angola,2021,Fuels and mining products,34841
Angola,2021,Fuels,33206
Angola,2021,Manufactures,8727
Angola,2021,Machinery and transport equipment,4794
Angola,2021,Agricultural products,2274
Angola,2021,Food,2167
Angola,2021,Transport equipment,2145
Angola,2021,Chemicals,1318
Angola,2021,Automotive products,723
Angola,2021,Office and telecom equipment,501
Angola,2021,Other,1606
Angola,2022,Fuels and mining products,53723
Angola,2022,Fuels,51552
Angola,2022,Manufactures,11827
Angola,2022,Machinery and transport equipment,6219
Angola,2022,Agricultural products,3457
Angola,2022,Food,3297
Angola,2022,Transport equipment,2817
Angola,2022,Chemicals,2117
Angola,2022,Automotive products,1270
Angola,2022,Pharmaceuticals,685
Angola,2022,Other,2211
Angola,2023,Fuels and mining products,38896
Angola,2023,Fuels,37181
Angola,2023,Manufactures,12308
Angola,2023,Machinery and transport equipment,7585
Angola,2023,Transport equipment,3731
Angola,2023,Agricultural products,2557
Angola,2023,Food,2434
Angola,2023,Chemicals,1504
Angola,2023,Automotive products,1229
Angola,2023,Office and telecom equipment,661
Angola,2023,Other,1926
Antigua and Barbuda,2018,Manufactures,391
Antigua and Barbuda,2018,Agricultural products,175
Antigua and Barbuda,2018,Food,162
Antigua and Barbuda,2018,Machinery and transport equipment,153
Antigua and Barbuda,2018,Transport equipment,65
Antigua and Barbuda,2018,Automotive products,55
Antigua and Barbuda,2018,Chemicals,46
Antigua and Barbuda,2018,Office and telecom equipment,22
Antigua and Barbuda,2018,Clothing,13
Antigua and Barbuda,2018,Telecommunications equipment,13
Antigua and Barbuda,2018,Other,51
Antigua and Barbuda,2019,Manufactures,386
Antigua and Barbuda,2019,Agricultural products,167
Antigua and Barbuda,2019,Food,156
Antigua and Barbuda,2019,Machinery and transport equipment,156
Antigua and Barbuda,2019,Transport equipment,66
Antigua and Barbuda,2019,Automotive products,50
Antigua and Barbuda,2019,Chemicals,46
Antigua and Barbuda,2019,Office and telecom equipment,21
Antigua and Barbuda,2019,Fuels and mining products,14
Antigua and Barbuda,2019,Telecommunications equipment,13
Antigua and Barbuda,2019,Other,55
Antigua and Barbuda,2020,Manufactures,282
Antigua and Barbuda,2020,Agricultural products,147
Antigua and Barbuda,2020,Food,138
Antigua and Barbuda,2020,Machinery and transport equipment,113
Antigua and Barbuda,2020,Fuels and mining products,83
Antigua and Barbuda,2020,Fuels,78
Antigua and Barbuda,2020,Chemicals,43
Antigua and Barbuda,2020,Transport equipment,37
Antigua and Barbuda,2020,Automotive products,27
Antigua and Barbuda,2020,Office and telecom equipment,18
Antigua and Barbuda,2020,Other,48
Antigua and Barbuda,2021,Manufactures,316
Antigua and Barbuda,2021,Agricultural products,167
Antigua and Barbuda,2021,Food,152
Antigua and Barbuda,2021,Fuels and mining products,131
Antigua and Barbuda,2021,Fuels,124
Antigua and Barbuda,2021,Machinery and transport equipment,120
Antigua and Barbuda,2021,Chemicals,51
Antigua and Barbuda,2021,Transport equipment,32
Antigua and Barbuda,2021,Automotive products,24
Antigua and Barbuda,2021,Office and telecom equipment,19
Antigua and Barbuda,2021,Other,58
Antigua and Barbuda,2022,Manufactures,427
Antigua and Barbuda,2022,Agricultural products,202
Antigua and Barbuda,2022,Food,182
Antigua and Barbuda,2022,Machinery and transport equipment,171
Antigua and Barbuda,2022,Transport equipment,68
Antigua and Barbuda,2022,Chemicals,53
Antigua and Barbuda,2022,Automotive products,34
Antigua and Barbuda,2022,Fuels and mining products,20
Antigua and Barbuda,2022,Office and telecom equipment,18
Antigua and Barbuda,2022,Iron and steel,16
Antigua and Barbuda,2022,Other,62
Antigua and Barbuda,2023,Manufactures,474
Antigua and Barbuda,2023,Agricultural products,205
Antigua and Barbuda,2023,Machinery and transport equipment,194
Antigua and Barbuda,2023,Food,188
Antigua and Barbuda,2023,Transport equipment,85
Antigua and Barbuda,2023,Automotive products,68
Antigua and Barbuda,2023,Chemicals,60
Antigua and Barbuda,2023,Fuels and mining products,20
Antigua and Barbuda,2023,Office and telecom equipment,17
Antigua and Barbuda,2023,Iron and steel,14
Antigua and Barbuda,2023,Other,62
Argentina,2018,Manufactures,63466
Argentina,2018,Agricultural products,39431
Argentina,2018,Food,38025
Argentina,2018,Machinery and transport equipment,34778
Argentina,2018,Transport equipment,18044
Argentina,2018,Automotive products,16167
Argentina,2018,Chemicals,15370
Argentina,2018,Fuels and mining products,11084
Argentina,2018,Fuels,8811
Argentina,2018,Office and telecom equipment,5108
Argentina,2018,Other,11602
Argentina,2019,Manufactures,49864
Argentina,2019,Agricultural products,42716
Argentina,2019,Food,41468
Argentina,2019,Machinery and transport equipment,25421
Argentina,2019,Chemicals,13832
Argentina,2019,Transport equipment,11647
Argentina,2019,Automotive products,10348
Argentina,2019,Fuels and mining products,8367
Argentina,2019,Fuels,6533
Argentina,2019,Office and telecom equipment,4137
Argentina,2019,Other,9515
Argentina,2020,Manufactures,41807
Argentina,2020,Agricultural products,40262
Argentina,2020,Food,39325
Argentina,2020,Machinery and transport equipment,19621
Argentina,2020,Chemicals,13552
Argentina,2020,Transport equipment,8697
Argentina,2020,Automotive products,7667
Argentina,2020,Fuels and mining products,5408
Argentina,2020,Fuels,4036
Argentina,2020,Office and telecom equipment,3954
Argentina,2020,Other,9106
Argentina,2021,Manufactures,59371
Argentina,2021,Agricultural products,48045
Argentina,2021,Food,46858
Argentina,2021,Machinery and transport equipment,28459
Argentina,2021,Chemicals,18778
Argentina,2021,Transport equipment,13353
Argentina,2021,Automotive products,11714
Argentina,2021,Fuels and mining products,10388
Argentina,2021,Fuels,7862
Argentina,2021,Office and telecom equipment,5879
Argentina,2021,Other,13941
Argentina,2022,Manufactures,73604
Argentina,2022,Agricultural products,59216
Argentina,2022,Food,57844
Argentina,2022,Machinery and transport equipment,35766
Argentina,2022,Chemicals,22827
Argentina,2022,Fuels and mining products,21111
Argentina,2022,Fuels,18246
Argentina,2022,Transport equipment,16604
Argentina,2022,Automotive products,14673
Argentina,2022,Office and telecom equipment,6617
Argentina,2022,Other,15370
Argentina,2023,Manufactures,67082
Argentina,2023,Agricultural products,44193
Argentina,2023,Food,43097
Argentina,2023,Machinery and transport equipment,35373
Argentina,2023,Chemicals,17946
Argentina,2023,Transport equipment,17313
Argentina,2023,Fuels and mining products,16060
Argentina,2023,Automotive products,15622
Argentina,2023,Fuels,13650
Argentina,2023,Office and telecom equipment,5543
Argentina,2023,Other,13175
Armenia,2018,Manufactures,3822
Armenia,2018,Fuels and mining products,1599
Armenia,2018,Agricultural products,1497
Armenia,2018,Food,1439
Armenia,2018,Machinery and transport equipment,1208
Armenia,2018,Fuels,759
Armenia,2018,Chemicals,534
Armenia,2018,Clothing,410
Armenia,2018,Office and telecom equipment,273
Armenia,2018,Iron and steel,258
Armenia,2018,Other,1022
Armenia,2019,Manufactures,3840
Armenia,2019,Fuels and mining products,1817
Armenia,2019,Agricultural products,1675
Armenia,2019,Food,1600
Armenia,2019,Machinery and transport equipment,1253
Armenia,2019,Fuels,834
Armenia,2019,Chemicals,613
Armenia,2019,Clothing,339
Armenia,2019,Transport equipment,334
Armenia,2019,Automotive products,293
Armenia,2019,Other,1175
Armenia,2020,Manufactures,3237
Armenia,2020,Fuels and mining products,1692
Armenia,2020,Agricultural products,1563
Armenia,2020,Food,1509
Armenia,2020,Machinery and transport equipment,1025
Armenia,2020,Fuels,787
Armenia,2020,Chemicals,543
Armenia,2020,Clothing,261
Armenia,2020,Office and telecom equipment,236
Armenia,2020,Iron and steel,229
Armenia,2020,Other,863
Armenia,2021,Manufactures,4020
Armenia,2021,Fuels and mining products,2187
Armenia,2021,Agricultural products,1854
Armenia,2021,Food,1787
Armenia,2021,Machinery and transport equipment,1266
Armenia,2021,Fuels,959
Armenia,2021,Chemicals,615
Armenia,2021,Iron and steel,356
Armenia,2021,Clothing,349
Armenia,2021,Transport equipment,326
Armenia,2021,Other,1191
Armenia,2022,Manufactures,8171
Armenia,2022,Machinery and transport equipment,3623
Armenia,2022,Agricultural products,2621
Armenia,2022,Fuels and mining products,2566
Armenia,2022,Food,2526
Armenia,2022,Office and telecom equipment,1377
Armenia,2022,Fuels,1263
Armenia,2022,Transport equipment,1190
Armenia,2022,Automotive products,1115
Armenia,2022,Telecommunications equipment,964
Armenia,2022,Other,2672
Armenia,2023,Manufactures,12002
Armenia,2023,Machinery and transport equipment,5868
Armenia,2023,Fuels and mining products,2738
Armenia,2023,Agricultural products,2457
Armenia,2023,Food,2323
Armenia,2023,Office and telecom equipment,2292
Armenia,2023,Transport equipment,2138
Armenia,2023,Automotive products,1972
Armenia,2023,Telecommunications equipment,1859
Armenia,2023,Fuels,1130
Armenia,2023,Other,3162
Australia,2018,Manufactures,202688
Australia,2018,Fuels and mining products,202181
Australia,2018,Fuels,122464
Australia,2018,Machinery and transport equipment,105376
Australia,2018,Agricultural products,54959
Australia,2018,Food,45770
Australia,2018,Transport equipment,39029
Australia,2018,Chemicals,31019
Australia,2018,Automotive products,30456
Australia,2018,Office and telecom equipment,27360
Australia,2018,Other,54451
Australia,2019,Fuels and mining products,211608
Australia,2019,Manufactures,194604
Australia,2019,Fuels,115529
Australia,2019,Machinery and transport equipment,100459
Australia,2019,Agricultural products,52803
Australia,2019,Food,45646
Australia,2019,Transport equipment,36318
Australia,2019,Chemicals,30675
Australia,2019,Automotive products,27182
Australia,2019,Office and telecom equipment,26262
Australia,2019,Other,53643
Australia,2020,Manufactures,188250
Australia,2020,Fuels and mining products,173914
Australia,2020,Machinery and transport equipment,94870
Australia,2020,Fuels,69924
Australia,2020,Agricultural products,48965
Australia,2020,Food,44015
Australia,2020,Transport equipment,31974
Australia,2020,Chemicals,31039
Australia,2020,Office and telecom equipment,25833
Australia,2020,Automotive products,23811
Australia,2020,Other,53954
Australia,2021,Fuels and mining products,272832
Australia,2021,Manufactures,230167
Australia,2021,Fuels,121623
Australia,2021,Machinery and transport equipment,117361
Australia,2021,Agricultural products,62444
Australia,2021,Food,54856
Australia,2021,Transport equipment,42639
Australia,2021,Chemicals,36915
Australia,2021,Automotive products,33020
Australia,2021,Office and telecom equipment,29440
Australia,2021,Other,60510
Australia,2022,Fuels and mining products,351057
Australia,2022,Manufactures,256883
Australia,2022,Fuels,222399
Australia,2022,Machinery and transport equipment,126639
Australia,2022,Agricultural products,73868
Australia,2022,Food,64310
Australia,2022,Chemicals,47078
Australia,2022,Transport equipment,45538
Australia,2022,Automotive products,35598
Australia,2022,Office and telecom equipment,30796
Australia,2022,Other,66742
Australia,2023,Fuels and mining products,305951
Australia,2023,Manufactures,243844
Australia,2023,Fuels,171663
Australia,2023,Machinery and transport equipment,132329
Australia,2023,Agricultural products,68738
Australia,2023,Food,60588
Australia,2023,Transport equipment,53226
Australia,2023,Automotive products,43293
Australia,2023,Chemicals,37572
Australia,2023,Office and telecom equipment,27660
Australia,2023,Other,58567
Australia,2024,Fuels and mining products,229550
Australia,2024,Agricultural products,47119
Australia,2024,Food,41152
Australia,2024,Automotive products,41138
Australia,2024,Clothing,8742
Austria,2018,Manufactures,303888
Austria,2018,Machinery and transport equipment,146513
Austria,2018,Transport equipment,53340
Austria,2018,Chemicals,49380
Austria,2018,Automotive products,40945
Austria,2018,Agricultural products,36511
Austria,2018,Fuels and mining products,34257
Austria,2018,Food,28393
Austria,2018,Office and telecom equipment,25323
Austria,2018,Pharmaceuticals,21728
Austria,2018,Other,74838
Austria,2019,Manufactures,293160
Austria,2019,Machinery and transport equipment,141946
Austria,2019,Transport equipment,54376
Austria,2019,Chemicals,49331
Austria,2019,Automotive products,41438
Austria,2019,Agricultural products,35662
Austria,2019,Fuels and mining products,31696
Austria,2019,Food,28313
Austria,2019,Pharmaceuticals,23564
Austria,2019,Office and telecom equipment,21906
Austria,2019,Other,67700
Austria,2020,Manufactures,273654
Austria,2020,Machinery and transport equipment,128214
Austria,2020,Chemicals,50012
Austria,2020,Transport equipment,45765
Austria,2020,Agricultural products,36019
Austria,2020,Automotive products,34027
Austria,2020,Food,29248
Austria,2020,Fuels and mining products,26051
Austria,2020,Pharmaceuticals,24559
Austria,2020,Office and telecom equipment,20840
Austria,2020,Other,59440
Austria,2021,Manufactures,330101
Austria,2021,Machinery and transport equipment,151141
Austria,2021,Chemicals,61984
Austria,2021,Transport equipment,52812
Austria,2021,Agricultural products,41945
Austria,2021,Fuels and mining products,40784
Austria,2021,Automotive products,38364
Austria,2021,Food,32494
Austria,2021,Pharmaceuticals,29024
Austria,2021,Office and telecom equipment,23840
Austria,2021,Other,77863
Austria,2022,Manufactures,334210
Austria,2022,Machinery and transport equipment,152553
Austria,2022,Chemicals,62370
Austria,2022,Fuels and mining products,57283
Austria,2022,Transport equipment,51578
Austria,2022,Agricultural products,42739
Austria,2022,Automotive products,36850
Austria,2022,Fuels,36624
Austria,2022,Food,33767
Austria,2022,Pharmaceuticals,27729
Austria,2022,Other,84360
Austria,2023,Manufactures,352381
Austria,2023,Machinery and transport equipment,167079
Austria,2023,Chemicals,69176
Austria,2023,Transport equipment,59679
Austria,2023,Fuels and mining products,46044
Austria,2023,Automotive products,44287
Austria,2023,Agricultural products,44021
Austria,2023,Food,36547
Austria,2023,Pharmaceuticals,33116
Austria,2023,Fuels,27874
Austria,2023,Other,81211
Azerbaijan,2018,Fuels and mining products,18928
Azerbaijan,2018,Fuels,18603
Azerbaijan,2018,Manufactures,8269
Azerbaijan,2018,Machinery and transport equipment,3468
Azerbaijan,2018,Agricultural products,2645
Azerbaijan,2018,Food,2362
Azerbaijan,2018,Chemicals,1382
Azerbaijan,2018,Iron and steel,1011
Azerbaijan,2018,Transport equipment,826
Azerbaijan,2018,Automotive products,585
Azerbaijan,2018,Other,1867
Azerbaijan,2019,Fuels and mining products,19028
Azerbaijan,2019,Fuels,18627
Azerbaijan,2019,Manufactures,8932
Azerbaijan,2019,Machinery and transport equipment,3941
Azerbaijan,2019,Agricultural products,2978
Azerbaijan,2019,Food,2650
Azerbaijan,2019,Chemicals,1585
Azerbaijan,2019,Transport equipment,1240
Azerbaijan,2019,Automotive products,881
Azerbaijan,2019,Iron and steel,785
Azerbaijan,2019,Other,1940
Azerbaijan,2020,Fuels and mining products,12563
Azerbaijan,2020,Fuels,12261
Azerbaijan,2020,Manufactures,8244
Azerbaijan,2020,Machinery and transport equipment,3627
Azerbaijan,2020,Agricultural products,2935
Azerbaijan,2020,Food,2615
Azerbaijan,2020,Chemicals,1590
Azerbaijan,2020,Transport equipment,1058
Azerbaijan,2020,Automotive products,778
Azerbaijan,2020,Iron and steel,708
Azerbaijan,2020,Other,2150
Azerbaijan,2021,Fuels and mining products,20392
Azerbaijan,2021,Fuels,19965
Azerbaijan,2021,Manufactures,9759
Azerbaijan,2021,Machinery and transport equipment,4090
Azerbaijan,2021,Agricultural products,3394
Azerbaijan,2021,Food,2976
Azerbaijan,2021,Chemicals,2196
Azerbaijan,2021,Transport equipment,1316
Azerbaijan,2021,Automotive products,1120
Azerbaijan,2021,Iron and steel,702
Azerbaijan,2021,Other,2461
Azerbaijan,2022,Fuels and mining products,37102
Azerbaijan,2022,Fuels,36590
Azerbaijan,2022,Manufactures,11261
Azerbaijan,2022,Machinery and transport equipment,4722
Azerbaijan,2022,Agricultural products,3976
Azerbaijan,2022,Food,3542
Azerbaijan,2022,Chemicals,2631
Azerbaijan,2022,Transport equipment,1823
Azerbaijan,2022,Automotive products,1329
Azerbaijan,2022,Iron and steel,821
Azerbaijan,2022,Other,2704
Azerbaijan,2023,Fuels and mining products,33442
Azerbaijan,2023,Fuels,33002
Azerbaijan,2023,Manufactures,13039
Azerbaijan,2023,Machinery and transport equipment,5999
Azerbaijan,2023,Agricultural products,3867
Azerbaijan,2023,Food,3472
Azerbaijan,2023,Chemicals,2598
Azerbaijan,2023,Transport equipment,2413
Azerbaijan,2023,Automotive products,2156
Azerbaijan,2023,Office and telecom equipment,1070
Azerbaijan,2023,Other,3340
Bahamas,2018,Manufactures,2474
Bahamas,2018,Agricultural products,828
Bahamas,2018,Machinery and transport equipment,792
Bahamas,2018,Food,762
Bahamas,2018,Fuels and mining products,729
Bahamas,2018,Fuels,686
Bahamas,2018,Chemicals,465
Bahamas,2018,Transport equipment,279
Bahamas,2018,Automotive products,146
Bahamas,2018,Office and telecom equipment,110
Bahamas,2018,Other,333
Bahamas,2019,Manufactures,2210
Bahamas,2019,Fuels and mining products,892
Bahamas,2019,Fuels,848
Bahamas,2019,Machinery and transport equipment,841
Bahamas,2019,Agricultural products,755
Bahamas,2019,Food,691
Bahamas,2019,Chemicals,333
Bahamas,2019,Transport equipment,297
Bahamas,2019,Automotive products,175
Bahamas,2019,Office and telecom equipment,84
Bahamas,2019,Other,262
Bahamas,2020,Manufactures,1484
Bahamas,2020,Machinery and transport equipment,547
Bahamas,2020,Agricultural products,536
Bahamas,2020,Fuels and mining products,518
Bahamas,2020,Food,495
Bahamas,2020,Fuels,483
Bahamas,2020,Chemicals,253
Bahamas,2020,Transport equipment,196
Bahamas,2020,Automotive products,137
Bahamas,2020,Office and telecom equipment,76
Bahamas,2020,Other,226
Bahamas,2021,Manufactures,2193
Bahamas,2021,Agricultural products,951
Bahamas,2021,Food,881
Bahamas,2021,Fuels and mining products,881
Bahamas,2021,Fuels,843
Bahamas,2021,Machinery and transport equipment,677
Bahamas,2021,Chemicals,398
Bahamas,2021,Transport equipment,211
Bahamas,2021,Automotive products,141
Bahamas,2021,Office and telecom equipment,104
Bahamas,2021,Other,294
Bahamas,2022,Manufactures,2490
Bahamas,2022,Agricultural products,1017
Bahamas,2022,Food,943
Bahamas,2022,Fuels and mining products,825
Bahamas,2022,Fuels,765
Bahamas,2022,Machinery and transport equipment,741
Bahamas,2022,Chemicals,391
Bahamas,2022,Transport equipment,267
Bahamas,2022,Automotive products,151
Bahamas,2022,Office and telecom equipment,104
Bahamas,2022,Other,313
Bahamas,2023,Manufactures,2916
Bahamas,2023,Agricultural products,1085
Bahamas,2023,Machinery and transport equipment,1050
Bahamas,2023,Food,1000
Bahamas,2023,Fuels and mining products,865
Bahamas,2023,Fuels,798
Bahamas,2023,Transport equipment,449
Bahamas,2023,Chemicals,377
Bahamas,2023,Automotive products,219
Bahamas,2023,Office and telecom equipment,99
Bahamas,2023,Other,343
"Bahrain, Kingdom of",2018,Fuels and mining products,16054
"Bahrain, Kingdom of",2018,Manufactures,13861
"Bahrain, Kingdom of",2018,Fuels,11001
"Bahrain, Kingdom of",2018,Machinery and transport equipment,6351
"Bahrain, Kingdom of",2018,Agricultural products,2639
"Bahrain, Kingdom of",2018,Transport equipment,2589
"Bahrain, Kingdom of",2018,Food,2496
"Bahrain, Kingdom of",2018,Chemicals,2034
"Bahrain, Kingdom of",2018,Automotive products,1752
"Bahrain, Kingdom of",2018,Iron and steel,1186
"Bahrain, Kingdom of",2018,Other,2903
"Bahrain, Kingdom of",2019,Fuels and mining products,15889
"Bahrain, Kingdom of",2019,Manufactures,12336
"Bahrain, Kingdom of",2019,Fuels,10194
"Bahrain, Kingdom of",2019,Machinery and transport equipment,5610
"Bahrain, Kingdom of",2019,Agricultural products,2539
"Bahrain, Kingdom of",2019,Transport equipment,2472
"Bahrain, Kingdom of",2019,Food,2423
"Bahrain, Kingdom of",2019,Chemicals,2074
"Bahrain, Kingdom of",2019,Automotive products,1702
"Bahrain, Kingdom of",2019,Iron and steel,912
"Bahrain, Kingdom of",2019,Other,2639
"Bahrain, Kingdom of",2020,Manufactures,12205
"Bahrain, Kingdom of",2020,Fuels and mining products,11708
"Bahrain, Kingdom of",2020,Fuels,6193
"Bahrain, Kingdom of",2020,Machinery and transport equipment,5722
"Bahrain, Kingdom of",2020,Agricultural products,2490
"Bahrain, Kingdom of",2020,Food,2388
"Bahrain, Kingdom of",2020,Chemicals,1994
"Bahrain, Kingdom of",2020,Transport equipment,1904
"Bahrain, Kingdom of",2020,Automotive products,1460
