country,Country Name,Country Code,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,...70
China,Armenia,ARM,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-129559250,-214245682.638889,-445631021.254785,-536868690.108658,-641500248.798067,-641619876.597845,-517560894.321732,-531776959.196634,-521259827.233028,-459464455.002652,-547927151.231746,-645186306.791906,-782593642.472682,-1035254569.32817,-1906845403.33537,-3127485895.91526,-2366282262.46614,-2326489846.17148,-2175629987.68525,-2214007063.77409,-2321776645.52881,-2168908139.47845,-1281494851.04737,-905845561.903669,-1243550763.88083,-1752742382.16506,-1817137352.77571,-1257660276.69423,-1115247228.47482,-99882952.469307,-343467608.646185,-731711963.45304,0
China,American Samoa,ASM,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Antigua and Barbuda,ATG,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12200000,-7000000,-27800000,-27700000,-41100000,-47300000,-18700000,-13500000,-34600000,-87644444.4444444,-76159259.2592592,-18274074.0740741,-47974074.0740741,4740740.7407408,-25925.9259259,20914814.8148148,40666666.6666667,14533333.3333333,-37318518.5185185,-64844444.4444444,-35000000,-24022222.2222222,-56490324.8148148,-6012592.9637029,-13552876.9937656,-3034962.3926737,1525354.2217845,20885677.5701807,-29047582.4859741,-152230004.995011,-298009513.252515,-208280062.838722,-62613571.441963,-23228841.8088001,51553067.5686629,21514922.5921703,1808195.2032334,102251479.635163,162974827.103107,119501331.857293,17926577.9791885,-96960107.3873333,12635215.1851851,-158703865.185185,-162149453.333333,-116129320.740741,-87957672.2222221,31318768.5185182,0
China,Australia,AUS,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7654223703.63626,-3259469531.92839,956062277.31035,-595971586.92051,-1312259379.40025,-4713416475.31885,-5240428241.26407,-533267382.68758,1646368836.22285,-6467569673.68318,-10082425326.5389,-4278715479.84175,2098010276.45843,-4719220380.96603,-14416671532.8361,-19188702454.739,-14812982446.7779,-12739769551.3515,-22880495663.2295,-12412041447.686,-8745692016.93027,6038557388.26251,13124139505.3401,-24017679329.5257,-9513266324.06121,-8959866226.01984,-28773630265.3472,-12915729462.2999,3124230284.15272,11002049820.2101,41304937027.1212,43039657134.7927,81929277275.5779,86008712990.8508,59296317893.4892,18922906572.3118,0
China,Austria,AUT,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10094027381.9188,13594759429.9566,18758629627.5828,20361565740.6298,14219475612.9926,12134112745.743,9636411469.57515,9742491014.22152,11561229856.2545,14193852265.852,13558003183.9385,14270103560.1123,12156728045.6645,13361198807.8664,15502338073.3493,14078374655.3192,3788251302.88608,-2519474101.89408,10221561709.0208,14898841398.1242,0
China,Azerbaijan,AZE,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-505362000,-985550000,-951065000,-1415241000,-636487000,94589000,238833000,-454039000,-1712980000,-2077108000,1329081000,5821918000,13093253000,20668404000,12972340000,17998383000,21331439000,19292808000,16419226000,12838097000,1583558000,1051820000,2735430000,7703178030.41765,5745749526.72636,-417799456.700004,9062113327.4647,25999657000,10470915000,6774099000,0
China,Burundi,BDI,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-112212410.645103,-127308943.522808,-180999564.32775,-144656148.723245,-135460084.033613,-228796850.707885,-218623410.40635,-224685553.713506,-199172089.957987,-170939494.384802,-129557670.940813,-87449352.5940279,-38087890.6203808,-96351255.0272744,-62747787.5124764,-97459551.7155253,-102096055.494448,-108960828.150083,-130484103.37884,-167796711.78127,-227398384.118993,-353763311.310568,-346620952.658039,-441272619.548802,-401314957.509576,-426014308.367945,-529656985.319385,-701167872.395645,-692692720.521686,-716976390.368953,-667274263.667495,-546564205.042517,-610565662.043586,-604282176.760059,-716523718.865391,-754497655.865512,-863533501.280828,-1086244584.16618,-1054714258.17668,0,0
China,Belgium,BEL,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11486152063.3972,10699409811.9195,12289290919.4444,8640514958.88791,9137273954.1724,6389429629.91387,-6650395742.44394,5467491069.59099,5149628648.6292,-5407721282.72453,-5232743023.66307,-272882804.5013,795668538.63,6502990902.5913,5685017502.0098,5262605954.4028,-1650684747.967,2506542714.6913,7602144462.6946,11377868174.4586,-7959654595.2787,-3916912629.7933,-5568857934.6864,0
China,Benin,BEN,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73899688.6706193,-119288199.447148,-152855929.894744,-165170350.740429,-206021682.538179,-207604638.226326,-194590526.846303,-214619984.004976,-464769001.641305,-196320303.9044,-102579966.183068,-102167335.858185,-141204638.725731,-145406600.950012,-153359318.98824,-81247729.4214812,-90092810.6946714,-343430086.16516,-245575041.673662,-196400598.194143,-92834949.7100857,-280430214.213829,-94660482.747005,-209202342.599654,-207407122.539361,-252271524.301984,-179800852.890673,-224504079.56376,-289044784.417194,-360314549.72843,-345598627.142502,-372865589.105196,-445824226.265186,-755034562.024593,-772629973.066784,-791331499.717446,-632495208.400364,-643106427.180873,-710646157.284974,-858674454.319657,-1118728506.04463,-756800485.387488,-526019054.88671,-703516906.141111,-821046408.892628,-721667297.10396,-435724020.28352,-771728221.053792,-1024472573.58803,-1678118172.23451,0,0
China,Burkina Faso,BFA,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-848815365.869128,-783537369.711016,-962174168.309755,-1374291352.15085,-892372674.527804,-668275736.493909,-697939435.893794,-585796272.56317,-1595943794.91939,-1117573282.68797,-1017344551.96401,-796037006.753357,-898228429.050722,-655586698.761391,-555481963.435646,576815704.724121,398785467.835309,-947074533.776167,-922317582.491916,0,0
China,Bangladesh,BGD,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-480606264.950485,-663369889.01433,-942478540.688586,-1309762900.9952,-1829305681.98229,-1896655282.54027,-1674191270.82786,-1395938726.16493,-1678795062.44922,-1527027397.33888,-1708694420.02741,-1615000802.4229,-1778862048.53991,-2387325689.49489,-1895840930.87395,-1650022838.99286,-1561350613.08649,-1515339352.99061,-1851345900.48272,-3157115126.18329,-2836515602.01405,-2307212151.30024,-2087438608.91848,-2696292969.48389,-2458878888.10143,-2817985657.31352,-2234843547.53366,-3141653816.41339,-3854880482.14049,-4156759716.05123,-3896303860.1296,-5462928581.36726,-7672641808.74828,-6025299151.95922,-7816344792.83922,-10888026891.2585,-10157899098.9677,-9933198074.62348,-12119389611.999,-10606498175.2763,-10505302542.1777,-17594487835.4604,-21457169885.0705,-19272605860.5841,-18300384906.6327,-36008206263.1851,-33568494214.0902,-14287605601.138,-21150872014.0134,0
China,Bulgaria,BGR,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308000000,293000000,287000000,55000000,514000000,-112000000,-856000000,-514000000,-76000000,-254000000,-1077000000,-117900000,-307200000,-943400000,-6000000,274500000,307700000,546700000,-8020423.355652,-766710358.940426,-669989777.212585,-1327927121.52239,-1209902300.43731,-2061604764.8916,-2896945990.97014,-4449983421.99429,-5844352050.21159,-8945175667.26605,-10620241928.2913,-3922786473.94819,-1627160000,170110000,-1886240000,-385580000,146260000,473170000,2699850000,2647390000,1710320000,2280790000,1747790000,2125980000,984280000,4257410000,2631660000,0
China,Bahrain,BHR,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90012642.4526233,-33872670.022997,-28560596.5589803,40004817.8877582,348254470.146654,304774346.064674,368617022.25696,364920213.73649,51063829.9230428,331117021.643526,523670212.765958,472074468.085106,325797872.340426,449734042.553192,264095744.680851,120478723.404255,-490425531.914894,-588031914.893617,177127664.67788,316489391.162576,675266009.827816,718617083.391104,607180907.583329,44414898.0466977,1052961957.63309,2044070281.64894,1811550028.19149,1332161989.80497,1775601799.20213,2166297712.58864,3109957700.70922,4103227902.39362,4688031914.89362,4955053191.48936,4350797872.34043,4784840425.53192,9061702127.65957,5659840425.53192,5771542553.1915,5520212765.95745,3351063829.78723,2694148936.17021,2855585106.38298,2910372340.42554,4356382978.7234,1952393617.02128,7657180851.06383,11513031914.8936,7970212765.95744,8259042553.19148,0
China,"Bahamas, The",BHS,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140700000,122900000,142700000,92500000,58600000,12300000,10400000,28100000,61300000,175400000,205400000,130400000,111900000,41500000,130600000,-12000000,106400000,153260000,68100000,-28100000,-151700000,-358800000,-832100000,-403400000,-570760000,-556100000,-281323042.557,-369790000,-416580000,-603804537.741,-1237750000,-1135298058.99422,-1112196412.431,-670319000,-576589000,-930926000,-1247731400,-1168058000,-1513316594.86294,-815857514.44974,-585952462.183125,-1158779778.81241,-364418785.555463,324221272.858005,-1722379433.88589,-1617321175.32263,-417261475.674218,-262192794.037693,-297869650.248138,0
China,Bosnia and Herzegovina,BIH,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2925389370.83722,-3117889819.77411,-2577518132.81806,-2730065298.51948,-3120639139.59946,-3821941979.2465,-4138362133.57751,-4345529639.45764,-3624941968.5814,-4662020359.93845,-6229877854.77118,-4194259998.58544,-3699616132.55731,-4434962079.82806,-4035721592.83707,-3724521863.46057,-4198572495.40221,-2961519174.21344,-2810928851.09672,-2940154629.0582,-2963549337.95131,-2957316131.70518,-2706264703.82631,-2622901991.03197,-3328380284.60602,-3248180035.83962,-3970065947.91047,0
China,Belarus,BLR,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-479800000,-437700000,-483300000,-576400000,-853000000,-1019200000,-255500000,-567100000,-633700000,-473400000,-692400000,-1493900000,341600000,-1492100000,-2810400000,-4646800000,-5597200000,-7481800000,-1188200000,2863199999.99999,-2300600000,-444100000,132400000,-8800000,100100000,929100000,-403000000,1947600000,3950314056.96,4686035287.81,338775604.64,-1444692071.7,0
China,Belize,BLZ,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17100000,-13100000,-13050000,-14100000,-20750000,-40750000,-3850000,-43000000,-42900000,-60500000,-42201500,-28143500,-11710000,-43315000,-63297500,-70653468.46,-166561465.90375,-162844254.468061,-141161220.765321,-135689422.722701,-84088082.0113377,-88005496.071037,25931934.0018133,13477104.0825889,-91248702.9103413,-53959075.1280521,19961433.0748313,-5491301.2052109,9363001.6298624,-27570992.447436,-67121775.1502315,-148978201.23580801,-163283832.513023,-56978145.601239,-83794802.70071,-100716723.794308,-187195108.458476,-206457407.047168,-204514136.129337,-37145635.6283785,-83824398.137295,0
China,Bermuda,BMU,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-338490000,-650029970.091134,-712497097.004796,-693118178.729979,-585289486.165294,-326799752.461443,-399084688.584863,-515927552.12556,-605016880.405959,-568413579.362972,-610483019.836141,-649147240.362098,-611553069.983311,-618767800.17432,-696022076.187566,-789315041.099342,-809905535.635797,-701163187.467629,0,0
China,Bolivia,BOL,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36000000,-65800000,-244600000,-265900000,197200000,-142100000,192300000,117500000,152200000,11000000,-175700000,-266300000,-174900000,-160900000,-109500000,-198100000,-578800000,-536500000,-171700000,-340100000,-418490000,-648500000,-844800000,-678100000,-607815903.97,-458745530.02828,-516682880.93811,-86907789.367575,231061237.172873,414848470.908809,892459631.560589,814530371.934917,1244957796.03459,274170000,681407338.7748,345773475.203279,2339083705.3513,1691971936.9631,1082959462.10384,-1979737198.24535,-2514014188.13787,-2173220117.97295,-1992410887.07075,-1686182613.50533,-624744932.577178,1418181475.78692,1217953798.72786,-1085476480.35164,-1427136381.29981,0
China,Brazil,BRA,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4994000000,-3971000000,-1686000000,-2882000000,-5041000000,-5957000000,-1688000000,-2810000000,4062000000,11337000000,10762000000,5731000000,8794000000,16145000000,13327000000,6986000000,6687000000,11897000000,8739000000,5515000000,-10652000000,-13512000000,-19380594698.5763,-18610746032.7427,-9991935231.31036,-10570608610.0643,-7220433515.30619,5921177448.69253,17461618605.616,25829510957.0654,33674229216.4115,33452513822.936,22217254175.7016,1980084511.86791,2316649166.28788,-19368906955.83,-16829708574.575,-31639635804.95,-54583362068.38,-63791507501.575,-28224926938.445,7888268360.8,15770565742.07,5020740727.415,-8913681707.435,11006501378.435,15355119391.01,10631648818.77,48997429682.235,10860692005.12,0
China,Barbados,BRB,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,-23363546.4473362,-29815381.1020923,-45133583.3528332,-51712124.6759439,-47572138.2663624,-51421819.5630711,-56939753.5519686,-64909100.7508751,-52869417.4777504,-73740087.325,-62946316.7,-43413348.3,-68091566.635,-85454457.5,-156907055,-92430845,-90116417.5,-20411335,20984117.5,45968981.9294945,26750785.047862,81865712.6807956,59103428.0598285,20105969.402965,11731183.079585,158203259.196937,138420342.432369,189562661.109446,70400073.5489945,199454491.638673,-37846500.2093395,-58703765.3219385,-89379642.1910565,-54043855.6815411,-53106203.21171,-70241385.9001929,-111609970.789287,-286541342.316748,-258976337.096995,-63175419.2618752,-82551497.7587099,-194010698.48884,-79742008.0045355,-99336415.1264348,-101831734.53244,-122685030.092565,-63011759.6557801,32195367.75406,115142644.281685,171899877.501825,15071255.5452452,0,0,0,0,0,0,0,0
China,Brunei Darussalam,BRN,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989059787.25675,1779007179.21169,2568584409.5717,3199787455.8062,4335140927.97401,5569590895.58787,5196313757.02077,7304766748.18525,4370174427.09202,5424417631.9042,7303248266.46829,6609154195.79177,4557118830.5744,5813453718.26044,1903397568.72309,1039098776.80807,1705234270.82597,1359241663.74238,1021907895.20701,503987342.563082,1971217783.42695,4305796750.51132,2495993793.47065,2372398524.64068,0
China,Bhutan,BTN,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-135666508.275048,50402524.6251132,-112000942.938711,-107898255.761345,-344757300.899123,-558990156.79171,-478829661.216349,-433041928.515847,-459214963.248015,-496734660.340354,-594968891.454513,-518571545.318266,-462859072.853854,-452196090.39644,-401795399.42642,-287001900.563872,-789981472.512696,-902301816.68712,-568591172.254581,0
China,Botswana,BWA,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84380460.0777117,-42090010.5709061,-73281420.1392245,-123044302.134794,-93864262.9841853,-173051561.868251,-400483624.391318,-198317730.999057,-71381307.359265,11244839.70046,179652049.010063,189128650.337643,704432208.996844,353551580.113065,517101258.425312,18006243.0600944,94531112.1627386,16447641.2802616,132476295.616108,384222050.918828,370895868.754373,569169393.307054,664882047.498742,-190025982.753887,597855038.450704,679374829.037563,604634492.20366,756116707.382116,955465957.303522,826929861.875511,1825358096.44794,1932753983.84303,1279865881.8668,-292092928.697593,-1262773518.87742,-1300748908.36186,-1019051881.27161,-2393567414.34267,-431507246.341567,474712194.042951,-909033269.203554,1308031982.08468,623187923.396331,169943118.054827,-1467064804.5948,-2796625701.36763,-1405435073.4656,198996111.478663,-709996600.792439,-2558995698.98222,0
China,Central African Republic,CAF,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46267561.469392,-62639631.8063489,-88989534.0252786,-126405983.520643,-67231819.6091651,-90147402.1163416,-82119625.0562135,-77225049.1685395,-97955993.8223748,-157155853.947018,-155355473.646591,-134132076.258033,-116783795.468032,-190527759.354211,-139202546.175899,-180730947.707285,-108312334.398684,-65381291.4120434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Canada,CAN,BN.GSR.GNFS.CD,-506965097.119612,-212120980.730522,-95384130.624448,309278759.858606,563628154.482249,-72914365.29116,14746027.033359,659237891.668527,863477545.351366,91577097.885006,2225305803.45783,1599649051.68283,998715623.641446,1798485347.07658,188806815.456828,-3075889125.97873,-1515997270.58041,-510403180.723825,666682553.677133,1184242918.34056,4717395080.82998,2361388870.09483,12130845692.3911,11082294016.2113,12377075316.1164,8477603565.87651,3697836184.17817,5199682303.13484,4077707643.07544,363564038.84548,1115963784.24021,-3204750443.16358,-2261089319.66952,63206950.53321,6647801661.67287,18904083589.1696,24629288042.4509,12429974698.0679,12048309635.2646,24096639864.5943,41604373750.7723,41819090368.6475,32839901425.9662,34073822805.147,44846759262.6836,45678110612.9024,35204360382.2795,30611671625.0844,28144247478.8098,-20294599835.7533,-30874997989.8313,-21682664821.6812,-34518334882.5215,-28982082930.2643,-16320998998.6071,-38583775871.449,-36241676908.6053,-36237673595.1705,-33732774271.5123,-25538102775.714,-36499244170.9958,2027310252.3313,12724832765.5058,1355284940.1316,-5947032089.6962,0
China,Central Europe and the Baltics,CEB,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Switzerland,CHE,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47430340.003061,-256707815.686031,-3180321456.38463,-3247581863.0006,-264224100.776275,-972774618.862203,-2215667515.86451,2012186039.6817,1891641654.37249,-12229582.6203,1018648396.41673,1692749265.35913,1758821461.86409,644418982.71735,4234403965.62043,9072204292.60039,11646322343.4134,13329165729.8699,14403419962.3246,12583959676.7016,14061341027.5182,12697634856.9753,15727670908.0436,12886665395.9725,11072088900.1949,16655365716.5224,18415553584.6914,28841850853.9883,21573539773.2025,29059214083.0142,44083170196.1085,52986310349.9128,32328344852.1281,54667613649.7312,46724214461.4352,55586080042.0105,65660095247.1844,68818322759.5168,66082559477.8815,62479254234.7253,57803788876.0292,70986209886.5496,65101059420.3423,44167555302.1223,97331329893.6191,110735663685.71,97823988600.2379,92504654755.0903,0
China,Channel Islands,CHI,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Chile,CHL,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-217000000,425000000,-282000000,-696000000,-618000000,-1084000000,-3285000000,-411000000,547000000,-181000000,495720000,627760000,854900000,1519300000,1022540000,1055290000,1518700000,546000000,-1215700000,581000000,1056900000,-1072625133.10716,-1563380808.39716,-2492077323.14361,1689973427.38374,1400054677.54859,999286551.135342,1684100883.03244,3476680180.01817,9459076625.42752,10240622954.4733,21620045741.3327,22855567968.2503,4338523547.95303,13216148168.533,13346978494.573,7340657002.24282,-1247185765.84247,-2565312820.76856,1074236550.73082,-1995119986.58649,-527947370.65117,1879849955.36792,-2932905994.96045,-5068925698.04108,11444340118.7684,-2188473339.12558,-11889803020.7973,3173652281.8482,11883616133.4495,0
China,China,CHN,BN.GSR.GNFS.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4737000000,2475000000,-32000000,-12592000000,-7589000000,291000000,-4060000000,-4927000000,10668000000,11601000000,4998000000,-11497000000,7611000000,11957590000,17551000000,42824000000,43837000000,30641000000,28873534000,28084000000,37383087664.0194,35821129066.2935,51174382539.95,124626797517.211,208918924500.594,308036028783.355,348832533153.935,220130401366.78,223023871712.8,181903738912.673,231844876748.002,235379561604.116,221299246947.272,357870764281.273,255737088242.15,217009899933.948,87905148451.8738,131844297312.037,358572608160.02,461494292759.35,577608939732.6,385575471624.67,538958018243.69,0
